Date,Open,High,Low,Close,Volume
2010-06-29 00:00:00-04:00,1.2666670083999634,1.6666669845581057,1.1693329811096191,1.5926669836044312,281494500
2010-06-30 00:00:00-04:00,1.7193330526351929,2.0280001163482666,1.553333044052124,1.5886670351028442,257806500
2010-07-01 00:00:00-04:00,1.6666669845581057,1.7280000448226929,1.3513330221176147,1.4639999866485596,123282000
2010-07-02 00:00:00-04:00,1.5333329439163208,1.5399999618530271,1.24733304977417,1.2799999713897705,77097000
2010-07-06 00:00:00-04:00,1.3333330154418943,1.3333330154418943,1.0553330183029177,1.0740000009536743,103003500
2010-07-07 00:00:00-04:00,1.0933330059051514,1.108667016029358,0.9986670017242432,1.053333044052124,103825500
2010-07-08 00:00:00-04:00,1.0759999752044678,1.1679999828338623,1.037999987602234,1.1640000343322754,115671000
2010-07-09 00:00:00-04:00,1.1720000505447388,1.1933330297470093,1.1033329963684082,1.159999966621399,60759000
2010-07-12 00:00:00-04:00,1.196666955947876,1.2046669721603394,1.1333329677581787,1.136667013168335,33037500
2010-07-13 00:00:00-04:00,1.1593329906463623,1.2426669597625732,1.126667022705078,1.2093329429626465,40201500
2010-07-14 00:00:00-04:00,1.1959999799728394,1.3433330059051514,1.184000015258789,1.3226670026779177,62928000
2010-07-15 00:00:00-04:00,1.329332947731018,1.4333330392837524,1.2666670083999634,1.3259999752044678,56097000
2010-07-16 00:00:00-04:00,1.3799999952316284,1.4199999570846558,1.3366669416427612,1.3760000467300415,39319500
2010-07-19 00:00:00-04:00,1.4246670007705688,1.4833329916000366,1.3946670293807983,1.4606670141220093,37297500
2010-07-20 00:00:00-04:00,1.4566669464111328,1.4566669464111328,1.3366669416427612,1.3533329963684082,27379500
2010-07-21 00:00:00-04:00,1.3773330450057983,1.3933329582214355,1.2999999523162842,1.3480000495910645,18787500
2010-07-22 00:00:00-04:00,1.3666670322418213,1.4166669845581057,1.3580000400543213,1.399999976158142,14367000
2010-07-23 00:00:00-04:00,1.4126670360565186,1.4373329877853394,1.4040000438690186,1.4193329811096191,9804000
2010-07-26 00:00:00-04:00,1.4333330392837524,1.4333330392837524,1.3533329963684082,1.3966670036315918,13833000
2010-07-27 00:00:00-04:00,1.3940000534057615,1.4119999408721924,1.3506669998168943,1.3700000047683716,9295500
2010-07-28 00:00:00-04:00,1.3700000047683716,1.3933329582214355,1.3673330545425415,1.3813329935073853,7008000
2010-07-29 00:00:00-04:00,1.3846670389175415,1.3919999599456787,1.3333330154418943,1.3566670417785645,9240000
2010-07-30 00:00:00-04:00,1.3466670513153076,1.3626669645309448,1.303333044052124,1.329332947731018,6403500
2010-08-02 00:00:00-04:00,1.3666670322418213,1.3980000019073486,1.3553329706192017,1.3946670293807983,10771500
2010-08-03 00:00:00-04:00,1.399999976158142,1.463333010673523,1.3880000114440918,1.463333010673523,18457500
2010-08-04 00:00:00-04:00,1.463333010673523,1.4786670207977295,1.3899999856948853,1.4173330068588257,13695000
2010-08-05 00:00:00-04:00,1.4359999895095823,1.4366669654846191,1.3366669416427612,1.363332986831665,11943000
